zpid,rooms,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount
11661218,0,7,5,7,5296,15007,34049881,-118503770,2002,4913691
11661448,0,7,4,7,5953,14804,34034783,-118514292,1965,5605553
11661609,0,4,4,4,3891,6904,34038266,-118508507,1949,3644224
11661632,0,2,3,2,2951,7218,34035220,-118507406,1951,2599928
11661716,0,7,6,7,5377,13210,34049552,-118513673,1951,4505594
11661992,0,3,4,3,3805,11022,34040408,-118511681,1924,471350
11662572,0,2,3,2,1356,6296,34030656,-118514089,1945,1876158
11662641,0,2,2,2,1900,6500,34032740,-118513341,1954,2148060
11663009,0,6,5,6,5191,8508,34036056,-118521169,2000,5519220
11663147,0,5,4,5,4182,15045,34032085,-118521058,1932,343902
11663420,0,2,4,2,2046,6872,34046689,-118527833,1950,973512
11663543,0,2,5,2,2222,5720,34042922,-118526372,1947,207812
11663873,0,3,3,3,2424,8000,34039222,-118525873,1937,471051
11664042,0,3,3,3,2849,6383,34036060,-118527118,1966,1257505
11664409,0,2,4,2,1949,6235,34046217,-118533206,1941,144465
11664585,0,3,4,3,2067,8062,34044596,-118535771,1951,250778
11664823,0,3,3,3,5350,5242,34045634,-118539090,1992,1735093
11664914,0,4,5,4,2507,7797,34041540,-118542193,1951,2008502
11665029,0,2,3,2,1443,4659,34047171,-118542596,1942,1201354
11665244,0,2,3,2,1715,7450,34042187,-118547831,1941,577526
11665671,0,1,1,1,593,289806,34044800,-118553000,1987,209832
11665778,0,5,2,5,4112,,34045481,-118553404,1929,256853
11665838,0,4,2,4,3369,3942,34039920,-118557488,1928,1013191
11665883,0,2,2,2,1967,3786,34040735,-118559569,1957,107253
11665959,0,2,2,2,2078,3509,34042170,-118562636,1952,714511
11666309,0,2,2,2,1767,6422,34042836,-118558707,1952,142040
11666355,0,3,4,3,2055,7211,34043023,-118561365,1954,1168613
11666654,0,2,2,2,1241,5196,34049901,-118542716,1935,113841
11666777,0,3,3,3,2632,9887,34048903,-118547175,1956,1780328
11666823,0,1,2,1,1086,22497,34048500,-118544000,1965,200550
11667090,0,5,6,5,6091,,34046852,-118548146,1961,1727386
11667053,0,2,3,2,1924,6343,34047148,-118547845,1961,143570
11667076,0,3,5,3,2650,8350,34046441,-118549172,1965,199450
11668088,0,4,4,4,4454,99793,34052611,-118516332,1978,2765733
11668134,0,2,2,2,1894,13696,34052737,-118518035,1936,1072953
11668157,0,7,6,7,5636,7800,34051710,-118517637,2014,2549950
11668395,0,2,2,2,1161,83028,34049000,-118528000,1975,399476
11668894,0,4,5,4,2631,6500,34048727,-118517700,1951,1224230
11669308,0,6,6,6,5878,13823,34047519,-118515269,2002,5143130
11669730,0,3,3,3,2845,21053,34052056,-118503746,1953,2305373
11669753,0,7,6,7,9572,14684,34053931,-118502811,2013,9179820
11669914,0,3,3,3,2810,9464,34057731,-118496684,1955,1236451
11669937,0,5,4,5,4388,19492,34053908,-118499837,1947,571347
11670282,0,2,3,2,2249,13130,34074691,-118491477,1958,138470
11670849,0,3,4,3,3387,8572,34070471,-118560299,1974,1616834
11671210,0,3,3,3,1830,361366,34076336,-118562632,1974,762559
11671940,0,3,2,3,2107,241653,34073732,-118555635,1985,1089000
11673723,0,2,2,2,1086,16218,34116710,-118629076,1971,95427
11673949,0,2,2,2,2703,41084,34103665,-118629418,1925,478276
11674138,0,2,3,2,2340,19004,34111002,-118623491,1998,752000
11674228,0,1,1,1,700,1208,34102050,-118620203,1923,368295
11675066,0,1,1,1,774,4087,34103558,-118589787,1932,586488
11675374,0,1,1,1,592,46110,34117634,-118577213,1930,48972
11675754,0,3,4,3,2555,13219,34041354,-118576742,1962,592193
11675838,0,2,3,2,2245,8711,34044650,-118573964,1965,729719
11676421,0,3,2,3,1522,62433,34102669,-118588399,1942,1081880
11676903,0,1,1,1,714,4157,34090939,-118593999,1936,460332
11677304,0,2,3,2,2397,27888,34081335,-118603449,1937,372657
11677719,0,2,2,2,2017,7307,34077934,-118602339,1925,1074028
11678058,0,2,3,2,1845,89387,34070048,-118604167,1977,600830
11678239,0,3,4,3,3524,45615,34073960,-118622473,1970,748625
11678615,0,4,3,4,2299,15066,34042025,-118617784,1948,827720
11679020,0,2,5,2,2292,29791,34041296,-118619512,1953,934051
11679043,0,4,3,4,2728,33842,34040580,-118623702,1967,232530
11679355,0,4,4,4,3308,95874,34045564,-118657167,1979,2714206
11679370,0,2,3,2,2304,58693,34039479,-118646319,1957,542596
11679408,0,11,7,11,8272,285440,34042130,-118649078,2001,4457379
11679423,0,5,5,5,7174,173871,34046538,-118654852,1998,5604320
11680632,0,7,6,7,5867,454495,34076726,-118643991,1992,3430715
11681264,0,2,3,2,2132,41601,34106282,-118661067,1976,655750
11681485,0,5,5,5,4216,16175,34127026,-118659563,1999,1716000
11681583,0,3,4,3,3584,127812,34080981,-118695127,1981,841668
11681606,0,2,4,2,2016,40854,34078997,-118697984,1961,136637
11682329,0,1,1,1,844,12393,34060247,-118739773,1960,293169
11682652,0,3,4,3,3171,6132,34033222,-118690991,1979,2021856
11682828,0,3,3,3,4136,6183,34029999,-118707098,1982,3573258
11682851,0,3,3,3,1647,6904,34030940,-118710947,1956,2087077
11683041,0,2,2,2,895,166825,34036174,-118694606,1972,67877
11683391,0,4,4,4,3864,14072,34039822,-118711992,1988,1323753
11683467,0,0,0,,2290,300987,34043755,-118705694,1981,203396
11684258,0,11,7,11,11810,189999,34024364,-118777515,1980,2.97E+07
11684902,0,1,3,1,792,5261,34104858,-118760606,1948,207096
11686146,0,3,4,3,3248,67051,34008596,-118794776,1957,3455831
11686588,0,5,4,5,5828,45203,34026540,-118790130,1999,3163362
11687405,0,4,4,4,3173,30375,34005145,-118807301,1955,285076
11687757,0,3,3,3,1640,508022,34012551,-118814636,1975,429264
11687841,0,8,8,8,10196,92859,34029256,-118834045,1991,9354191
11688422,0,3,5,3,2381,11538,34037317,-118844111,1964,196820
11689896,0,1,3,1,1231,109359,34072925,-118897943,1937,81953
11691049,0,5,4,5,4440,288456,34110037,-118493191,1991,1181831
11691102,0,2,3,2,1788,14399,34106819,-118502029,1955,777094
11691485,0,3,3,3,2816,14567,34075958,-118505283,1986,1492404
11691585,0,5,7,5,4424,9466,34080691,-118508389,1966,700977
11691608,0,4,5,4,3114,15529,34080649,-118506336,1965,866129
11691929,0,3,4,3,2235,13364,34103356,-118502430,1960,1337729
11692357,0,4,4,4,4495,215855,34104214,-118487515,1999,1760711
11692902,0,3,3,3,2450,14035,34071055,-118487606,1954,179473
11693873,0,4,4,4,3130,4454,33996316,-118281283,,38508
11693980,0,1,2,1,1068,6096,33991204,-118280275,1907,50565
11694118,0,1,3,1,1040,3507,33994861,-118297237,1911,136647
11694271,0,1,2,1,936,3515,33991734,-118297958,1922,28513
11694822,0,2,4,2,1856,5359,33994791,-118293862,1912,315000
11695175,0,4,9,4,2788,5951,33994419,-118304012,1911,514308
11695374,0,2,4,2,1657,4965,33992596,-118306940,1973,296801
11695466,0,2,3,2,1840,5726,33991834,-118303300,1923,219130
11695489,0,3,4,3,2191,4960,33991698,-118300461,1921,163397
11695750,0,1,2,1,768,4879,33989939,-118300199,1910,184367
11695887,0,4,7,4,2074,5201,33993458,-118319121,2003,412859
11696077,0,2,2,2,1560,5461,33990108,-118314809,1923,156515
11696100,0,2,2,2,1696,5460,33991456,-118314808,1923,177667
11696315,0,2,3,2,1431,6080,33994674,-118312575,1922,259068
11696598,0,2,2,2,1612,5959,33991483,-118308904,1923,307381
11697056,0,1,2,1,1262,6077,33994471,-118324554,1916,327873
11697416,0,1,2,1,1144,5429,33993671,-118320202,1923,214803
11697577,0,2,3,2,1492,6392,33994340,-118336576,1925,123828
11698182,0,3,6,3,2735,6220,33990621,-118341379,1947,412698
11698397,0,3,3,3,2341,7673,33989991,-118344806,1940,666407
11698834,0,2,2,2,1394,6210,33991479,-118353113,1940,67267
11698940,0,2,3,2,1834,6759,33995180,-118356792,1952,725000
11699162,0,3,3,3,3392,13308,34001044,-118352736,1957,731570
11699531,0,2,2,2,1410,6037,33994113,-118348654,1939,536000
11699846,0,5,5,5,3121,7351,33998403,-118342432,1941,828058
11700092,0,3,3,3,2158,6933,33996991,-118346194,1949,728000
11700192,0,2,2,2,1629,5837,33997579,-118348523,1941,449803
11700215,0,3,4,3,3001,7941,34002190,-118341249,1928,103991
11700507,0,2,3,2,1924,9310,34002402,-118334159,1930,563863
11700799,0,4,4,4,3583,8577,33999007,-118339895,1946,122967
11700922,0,2,3,2,1792,7170,33997310,-118340650,1949,98073
11701022,0,2,2,2,1512,6395,33995192,-118336579,1947,275051
11701122,0,3,3,3,1824,6106,33996458,-118333310,1931,502768
11701222,0,2,2,2,1596,7203,33998561,-118331314,1939,466091
11701314,0,3,6,3,3907,6660,34002254,-118331052,1927,364572
11701763,0,2,2,2,1176,6480,33996547,-118324099,1920,337000
11701855,0,1,2,1,1336,6345,34002213,-118324072,1922,241078
11701878,0,1,2,1,1040,6344,34002346,-118322983,1924,279000
11701924,0,2,2,2,1448,6750,33997907,-118323003,1922,135498
11702200,0,2,3,2,1480,6748,33999295,-118321263,1916,191735
11702630,0,2,3,2,1196,5200,33995872,-118313236,1921,121660
11703014,0,2,3,2,1584,5211,34002639,-118315885,1912,90036
11703083,0,2,3,2,1554,4661,34000767,-118316493,1928,265109
11703129,0,1,2,1,965,4991,33996786,-118316936,1914,37204
11703221,0,1,2,1,918,5631,33998216,-118317548,1922,30540
11703428,0,1,3,1,1042,6478,33995176,-118319112,1923,187574
11703932,0,4,8,4,5686,6313,34000362,-118300087,1924,269717
11704177,0,1,2,1,1276,5823,33998489,-118300810,1910,169562
11704583,0,2,2,2,1710,6054,33997128,-118296938,1921,195644
11704867,0,1,3,1,1754,6480,33997624,-118294643,1913,190534
11704974,0,1,2,1,1400,5850,33998419,-118292650,1918,60826
11705141,0,4,4,4,3492,,34003418,-118287730,1920,397467
11705164,0,6,10,6,3368,5176,34000772,-118287883,2013,532939
11705210,0,2,4,2,1711,6004,34001205,-118288413,1907,27081
11705324,0,4,6,4,2214,5848,33999887,-118286501,1991,271054
11705431,0,2,2,2,1616,5177,33998126,-118286980,1911,302839
11705454,0,2,4,2,2098,5169,33997586,-118288924,1910,375000
11705638,0,1,2,1,1126,4193,33997550,-118285136,1909,111788
11705707,0,3,5,3,2169,6793,33999369,-118284319,1936,297413
11706080,0,3,5,3,2147,5839,34009395,-118288582,1913,93770
11706103,0,4,4,4,3854,5925,34009774,-118287839,1915,41558
11706293,0,4,4,4,2860,6007,34004298,-118285707,1910,54616
11706469,0,3,4,3,1634,4800,34006452,-118284643,1909,77557
11706538,0,2,3,2,1612,3620,34007246,-118282954,1905,210086
11707866,0,1,4,1,2078,5828,34006209,-118305085,1912,301263
11707989,0,1,3,1,1700,6697,34006750,-118300670,1907,36466
11708173,0,3,4,3,2170,5450,34004218,-118304449,1924,265391
11708517,0,1,2,1,1462,5606,34010531,-118312118,1913,241007
11708563,0,1,2,1,1384,5750,34008386,-118311212,1913,55364
11708663,0,2,3,2,1527,6254,34005726,-118312728,1922,231545
11708809,0,1,2,1,1213,5504,34005212,-118314706,1920,115612
11708909,0,2,2,2,1345,5502,34007494,-118313691,1912,43047
11709009,0,1,2,1,1498,5884,34009257,-118316022,1926,39524
11709101,0,2,3,2,1355,5062,34008601,-118316488,1914,123476
11709605,0,1,2,1,1297,4076,34004760,-118326347,1929,169236
11710202,0,2,4,2,1700,7074,34004012,-118333578,1940,343684
11710225,0,2,3,2,2488,7000,34003932,-118334062,1929,79916
11710346,0,2,2,2,1527,5001,34010248,-118331436,1934,212326
11710369,0,1,2,1,1510,4119,34009684,-118332581,1935,215451
11710963,0,1,2,1,1161,443008,34019921,-118364216,1942,122000
11711063,0,1,2,1,1161,588738,34019911,-118362630,1945,122000
11711286,0,1,1,1,849,557296,34019540,-118360819,1942,89000
11711815,0,2,2,2,1778,10906,34006270,-118350997,1954,78891
11712410,0,4,4,4,3224,7690,34008409,-118355335,1987,114295
11712671,0,2,3,2,1488,10840,34013816,-118355031,1947,230897
11713177,0,3,3,3,2622,23941,34014328,-118358737,1954,820000
11713300,0,3,3,3,2822,18673,34011918,-118356274,1959,138054
11713415,0,3,3,3,3085,47853,34014498,-118362975,1962,552891
11713783,0,3,3,3,2684,13501,34008327,-118346705,1954,119501
11713806,0,4,4,4,3131,13698,34007671,-118344140,1956,142873
11714711,0,1,2,1,1243,6490,34018833,-118331307,1941,174053
11714811,0,2,3,2,1599,5900,34016411,-118330349,1941,64002
11714911,0,1,2,1,1368,7011,34020223,-118329411,1940,464000
11715034,0,2,3,2,1503,5644,34014063,-118327568,1941,59102
11715326,0,2,2,2,1630,6029,34015700,-118325456,1940,379593
11715779,0,1,2,1,1147,5305,34016401,-118322578,1938,172168
11716094,0,1,2,1,1236,6500,34011681,-118318687,1912,36551
11716477,0,2,4,2,2066,7021,34012145,-118310592,1922,41157
11716692,0,2,2,2,1600,6075,34013973,-118313749,1924,365330
11716715,0,2,4,2,2124,6075,34013968,-118315515,1923,500000
11717152,0,1,2,1,972,5403,34017610,-118310826,1922,63751
11717244,0,2,4,2,1418,5286,34017563,-118302135,1913,208698
11717290,0,3,6,3,2284,5687,34017060,-118299874,1959,287819
11717313,0,1,3,1,1224,5253,34016666,-118302665,1908,167608
11717826,0,2,4,2,1738,7684,34013896,-118303982,1923,37279
11717940,0,1,2,1,896,2021,34012642,-118305220,1921,210044
11718123,0,1,4,1,1732,7811,34012907,-118295807,1910,52043
11718535,0,1,3,1,972,4294,34015234,-118291871,1909,239849
11719065,0,1,2,1,1330,6799,34022485,-118296811,1907,124581
11719195,0,1,1,1,578,1344,34018562,-118295023,1924,15042
11719218,0,4,5,4,2961,6600,34019689,-118295981,1904,301314
11719584,0,0,0,,1633,7862,34022799,-118291909,1908,35949
11719622,0,2,4,2,2505,7250,34020651,-118292177,1907,250688
11719950,0,1,2,1,923,6803,34023062,-118304968,1908,121899
11720034,0,2,4,2,1245,4174,34022145,-118309379,1923,183036
11720195,0,2,2,2,894,6399,34021227,-118302935,1905,91609
11720463,0,1,2,1,1720,6913,34019687,-118301370,1908,132526
11720685,0,2,3,2,1188,4371,34018725,-118309283,1921,85204
11720769,0,1,3,1,1243,5604,34023233,-118318311,1908,225543
11720815,0,1,2,1,1525,5592,34024106,-118317640,1909,27487
11721183,0,3,6,3,1898,5787,34020035,-118312583,1922,215460
11721329,0,2,3,2,1171,6106,34021306,-118313859,1941,402891
11721429,0,2,2,2,1660,6355,34022300,-118315390,1915,171992
11721978,0,2,5,2,1350,4810,34029897,-118360747,1980,133307
11722734,0,2,3,2,1536,5794,34023840,-118325900,1921,110953
11723048,0,2,4,2,2105,5606,34024156,-118323003,1902,64033
11723255,0,1,2,1,1235,5597,34023377,-118321155,1914,25854
11723883,0,3,4,3,2420,5435,34024090,-118342552,1948,303076
11724064,0,2,4,2,1565,6406,34022259,-118343978,1944,50949
11724286,0,1,1,1,1562,6239,34019664,-118336102,1940,223584
11724609,0,2,4,2,1516,6049,34019777,-118343977,1944,59727
11724913,0,2,3,2,1624,6500,34022221,-118357582,1941,444678
11725082,0,2,4,2,1671,5998,34022227,-118363151,1950,118690
11725526,0,2,6,2,1752,5447,34033682,-118364289,1926,373100
11725549,0,4,8,4,3692,6376,34032966,-118365141,1928,637887
11725663,0,1,2,1,800,4400,34031514,-118369568,1939,297135
11725778,0,2,3,2,1170,4400,34030440,-118369979,1939,229596
11726061,0,1,2,1,977,4800,34029431,-118365171,1916,98159
11726382,0,2,4,2,1352,3576,34031250,-118350377,1921,382729
11726702,0,2,2,2,2600,4810,34030561,-118353793,1932,331389
11726725,0,3,4,3,2014,4804,34031131,-118354611,1937,148956
11726993,0,3,3,3,1568,4799,34027537,-118353528,1949,322951
11727016,0,2,3,2,1483,2852,34028449,-118352209,,214187
11727419,0,4,8,4,5738,7000,34030100,-118343000,,310700
11727626,0,1,2,1,1181,5525,34027745,-118336149,1925,204855
11727970,0,4,8,4,4206,7000,34031505,-118323302,,552046
11728251,0,4,4,4,3776,5664,34029889,-118325082,1925,41801
11728558,0,3,2,3,2076,6625,34028478,-118332569,1924,263652
11728940,0,1,2,1,1015,7499,34027944,-118321140,1914,258653
11729116,0,2,4,2,1634,5002,34027955,-118317721,1921,199500
11729338,0,2,4,2,1538,6753,34030554,-118315744,1910,422090
11729797,0,2,4,2,2793,6749,34030573,-118310637,1931,464776
11729981,0,2,3,2,1604,5200,34025816,-118309188,1912,271315
11730225,0,1,3,1,1053,7501,34027701,-118304809,1905,243799
11730347,0,2,3,2,2000,7200,34028806,-118303518,1950,339388
11730553,0,1,2,1,1426,7410,34030038,-118301491,1908,51026
11730943,0,0,0,,3786,6621,34031100,-118299000,1922,303401
11731141,0,2,3,2,1607,6748,34035366,-118294774,1907,261747
11731225,0,1,2,1,1401,4144,34036127,-118292349,1907,229188
11731499,0,2,5,2,1968,5626,34028906,-118292980,1907,466091
11731606,0,2,5,2,1714,5893,34035419,-118289262,1940,202805
11731629,0,2,2,2,1723,5503,34036217,-118289470,1921,190910
11732592,0,1,3,1,1272,9312,34042297,-118285829,1901,234188
11732736,0,1,3,1,1301,6079,34041249,-118289405,1907,184719
11732887,0,3,5,3,3476,8328,34038497,-118285278,1908,39733
11733230,0,1,2,1,1118,5201,34031505,-118345404,1915,372292
11733322,0,1,2,1,1166,5218,34029417,-118346997,1914,218241
11733445,0,2,3,2,1204,5851,34028862,-118342699,1924,42658
11733606,0,1,2,1,931,5658,34026086,-118346510,1927,121807
11733744,0,1,2,1,960,5199,34026515,-118349210,1924,325000
11733782,0,4,5,4,3496,8607,34036206,-118315086,1937,384468
11734117,0,2,5,2,1792,6650,34035699,-118301884,1912,128457
11734178,0,4,4,4,3603,6752,34036073,-118299708,1905,516071
11734201,0,1,4,1,2116,6757,34035161,-118301023,1903,215453
11734422,0,2,3,2,1573,7505,34033634,-118324241,1923,159000
11735346,0,2,4,2,2131,5997,34036902,-118337622,1912,226471
11735576,0,3,2,3,2283,5799,34037584,-118341648,1923,409844
11735744,0,1,3,1,1134,5500,34036027,-118342502,1949,42594
11735767,0,3,4,3,3270,5657,34036733,-118341461,1924,591587
11735897,0,4,6,4,2472,6600,34038673,-118344284,1996,498235
11736133,0,2,2,2,1320,7447,34036718,-118351820,1921,57796
11736279,0,1,2,1,1154,4498,34037374,-118348308,1924,460437
11736340,0,2,2,2,1728,6000,34037900,-118346972,1925,206083
11736386,0,2,3,2,1730,5989,34036683,-118345304,1917,105935
11736708,0,6,11,6,3351,6078,34036939,-118360965,1963,573750
11736961,0,2,2,2,1600,6491,34034747,-118357369,1924,600000
11736984,0,3,5,3,1827,6066,34035751,-118362028,1995,309257
11737076,0,4,6,4,3594,5540,34038303,-118356727,1929,70971
11737480,0,3,3,3,2364,6883,34041156,-118358314,1940,391645
11737816,0,3,4,3,2127,7736,34041869,-118362052,1941,397669
11737877,0,2,3,2,1668,5118,34040871,-118364027,1940,290892
11738271,0,1,2,1,1139,5006,34032901,-118376920,1940,51971
11738339,0,4,4,4,2494,7245,34035862,-118378818,1941,752466
11738558,0,4,5,4,1902,5005,34034478,-118372336,1937,230559
11738649,0,4,8,4,4008,7437,34037328,-118375715,1948,248020
11738748,0,1,2,1,1336,8034,34046030,-118374617,1935,230361
11738909,0,2,3,2,1817,6059,34040763,-118372878,1942,767432
11739460,0,1,2,1,1084,5001,34044773,-118345774,1926,137866
11739536,0,1,2,1,770,2522,34045412,-118340227,1922,280000
11739666,0,1,2,1,1151,5912,34041690,-118344118,1911,247056
11739902,0,1,3,1,1137,4500,34042496,-118350507,1923,433947
11739986,0,2,2,2,1388,6127,34042926,-118352678,1950,58094
11740199,0,7,6,7,3318,9256,34048323,-118374530,1929,1570769
11740412,0,2,2,2,1199,2804,34050341,-118370293,1930,664000
11740778,0,2,4,2,1848,6376,34047083,-118366470,1927,208739
11741077,0,2,4,2,3168,6889,34047241,-118363276,1933,564189
11741253,0,2,3,2,1392,6000,34045412,-118361375,1926,695626
11741483,0,1,2,1,720,2451,34047608,-118357738,1924,560000
11741781,0,1,2,1,780,3199,34046468,-118353208,1926,455950
11742359,0,1,3,1,1382,6384,34047257,-118346608,1928,139185
11743230,0,4,4,4,4256,6999,34040462,-118337474,1923,143823
11743321,0,1,4,1,2852,6566,34042039,-118328016,1913,423291
11743344,0,2,4,2,2070,5892,34043340,-118327323,1921,278068
11743420,0,2,3,2,2965,7110,34046106,-118324718,1926,570000
11743458,0,1,3,1,2056,5977,34046044,-118323620,1912,192415
11744580,0,1,2,1,1746,7538,34041859,-118316397,1907,165670
11744922,0,1,3,1,2200,7229,34044263,-118302337,1910,40138
11745089,0,3,3,3,2820,5711,34042886,-118306459,,650000
11745636,0,1,2,1,1064,3315,34045681,-118296269,1905,256151
11745879,0,0,0,,3732,4749,34041152,-118292785,1925,37282
11745902,0,1,2,1,1154,4736,34040753,-118292748,1906,151321
11746592,0,1,4,1,3116,6475,34047860,-118283588,1903,564283
11746835,0,2,2,2,926,44106,34065700,-118287000,1986,284612
11747478,0,1,2,1,1544,5893,34053340,-118294578,1908,129610
11747787,0,1,3,1,1279,5908,34049446,-118299798,1904,314532
11748113,0,5,8,5,3330,5906,34048412,-118296659,,840000
11748309,0,2,3,2,1902,6250,34050386,-118309924,1920,442718
11748452,0,1,3,1,1256,5556,34048368,-118306419,1921,187504
11749304,0,3,2,3,1300,13708,34052100,-118323000,1983,122214
11749455,0,1,2,1,1168,6500,34051770,-118319127,1919,482077
11749631,0,3,3,3,2398,8217,34050925,-118315447,1921,116981
11749646,0,2,4,2,4311,7800,34047684,-118318637,1910,767695
11749806,0,3,6,3,3712,9295,34051689,-118313231,1915,702106
11750041,0,2,4,2,1436,7032,34055356,-118328741,1920,164316
11750569,0,2,3,2,2166,8585,34051095,-118325864,1925,68299
11750729,0,3,4,3,1861,8590,34052970,-118323958,1920,725205
11751182,0,4,6,4,3616,7399,34052106,-118337624,1925,86345
11751343,0,4,6,4,4000,7400,34050238,-118335889,1936,243262
11751702,0,3,3,3,2803,7087,34056583,-118340072,1928,267887
11751847,0,2,4,2,2602,6500,34055550,-118345674,1950,111154
11752038,0,3,5,3,3770,6383,34053813,-118340680,1948,1098046
11752681,0,2,2,2,1300,10644,34057076,-118350206,1989,270451
11753292,0,2,4,2,3149,5804,34050809,-118356517,1937,504869
11753414,0,2,3,2,1762,4446,34049903,-118352560,1927,869516
11753960,0,2,3,2,1911,8809,34060608,-118358197,1927,736653
11754280,0,3,3,3,1841,6885,34055071,-118371541,1935,1264573
11754533,0,2,3,2,1736,6499,34057711,-118367310,1925,85016
11754656,0,3,5,3,2867,6499,34056957,-118366066,1926,224838
11754771,0,3,3,3,1863,7498,34060082,-118374448,1946,461203
11754955,0,1,3,1,1575,7008,34059304,-118369916,1926,164683
11755154,0,4,5,4,2422,7499,34061576,-118363842,1925,331000
11755381,0,2,2,2,1683,116460,34061300,-118357000,1981,519665
11755519,0,4,4,4,3518,5880,34060039,-118356650,1948,1340000
11755588,0,1,3,1,1300,4949,34058887,-118356253,1925,698114
11755726,0,6,6,6,3770,6749,34057703,-118352932,1941,469583
11755887,0,2,3,2,2158,6701,34058324,-118347087,1929,431324
11756201,0,3,4,3,3442,9003,34060448,-118330973,1939,1107807
11756393,0,4,5,4,3836,14898,34058093,-118327937,1923,1295369
11756439,0,3,2,3,2234,50102,34061500,-118326000,1980,780000
11756928,0,2,2,2,1502,10477,34060300,-118322000,1965,332238
11757907,0,0,5,,3139,6263,34060125,-118312629,1999,1102504
11758019,0,3,4,3,2590,6250,34059070,-118309956,1921,454910
11759101,0,4,8,4,4550,6749,34056051,-118296384,1938,350392
11759788,0,1,4,1,1049,5329,33992162,-118271355,1907,176084
11759811,0,2,6,2,2328,5328,33992163,-118270695,1905,193485
11759834,0,2,2,2,970,5103,33990926,-118270955,1921,37541
11760009,0,1,2,1,1104,5399,33991212,-118274082,1907,165934
11760383,0,1,2,1,1167,6246,33995493,-118262031,1911,310900
11760582,0,2,3,2,1268,5567,33992730,-118262605,1923,182516
11760628,0,2,4,2,1352,5632,33991842,-118261745,1922,204853
11761124,0,4,8,4,3196,5797,33996823,-118254426,2010,465817
11761199,0,1,3,1,1024,3108,33995387,-118251513,1925,14642
11761299,0,1,2,1,818,5402,33995458,-118247776,1939,26060
11761337,0,2,4,2,1200,5477,33994548,-118248154,1979,310000
11761406,0,3,4,3,2419,6750,33993265,-118250165,1938,354894
11761475,0,4,6,4,1964,5119,33994160,-118254133,1905,196960
11761582,0,2,3,2,1073,5410,33992726,-118252282,1906,186803
11761651,0,1,3,1,1080,5404,33992731,-118248723,1906,142344
11761743,0,2,3,2,1460,5399,33991780,-118252940,1904,267041
11761896,0,2,4,2,1588,5401,33990443,-118248587,1912,271189
11761934,0,1,3,1,1509,5400,33989903,-118250626,1905,288000
11762313,0,1,2,1,880,4799,33990139,-118243334,1910,65762
11762328,0,1,1,1,588,1440,33991111,-118241762,1926,178500
11763134,0,2,2,2,1535,5362,34002301,-118249335,1913,284000
11763157,0,4,7,4,2728,6582,34002697,-118251546,1906,440000
11763394,0,1,2,1,712,2883,34000710,-118252884,1906,169194
11763440,0,1,2,1,796,2885,34000375,-118253673,1905,151527
11763731,0,2,3,2,1602,4798,33997352,-118253635,1924,302973
11763754,0,2,6,2,2018,5220,33997737,-118251624,1948,481312
11763777,0,1,5,1,1702,5027,33998147,-118249588,1912,206862
11764197,0,1,3,1,708,2998,33996856,-118263443,1907,57923
11764403,0,2,4,2,1688,6000,33999566,-118256826,1913,300893
11764715,0,2,2,2,966,2042,33997295,-118271043,1923,133980
11764845,0,2,2,2,1681,8401,33998195,-118269010,1941,310820
11765266,0,3,8,3,3156,6116,34000381,-118267475,1905,32993
11765609,0,1,4,1,1835,5205,34002599,-118275541,1906,27084
11765800,0,2,3,2,1795,5648,34000324,-118274973,1916,235335
11766190,0,2,4,2,1712,4587,33994904,-118275288,1920,158223
11766236,0,1,1,1,648,1599,33994330,-118274888,1922,122397
11766479,0,2,3,2,1574,5401,34005349,-118274400,1908,200657
11766555,0,5,9,5,3183,5400,34006258,-118274138,2012,504000
11767035,0,2,6,2,1903,5120,34006325,-118265583,1947,258696
11767676,0,3,7,3,2390,7750,34009466,-118262342,1949,186996
11768537,0,3,4,3,2218,5111,34006348,-118261771,1909,239803
11768934,0,4,5,4,2747,6250,34008957,-118257689,1912,283752
11769079,0,2,6,2,2214,4500,34007675,-118252583,1996,294098
11769354,0,1,3,1,1320,4587,34007661,-118250196,1913,151428
11769400,0,1,2,1,1048,4914,34006277,-118250156,1909,72417
11769423,0,1,3,1,1111,4975,34005933,-118250460,1912,82609
11769530,0,1,2,1,1040,2708,34005158,-118248757,1912,152998
11769729,0,4,8,4,2332,5698,34006715,-118244062,1960,263852
11769752,0,4,8,4,3550,5464,34006910,-118245603,1963,344882
11769821,0,2,2,2,1326,5200,34005821,-118243682,1909,278437
11769913,0,2,2,2,756,5359,34004871,-118243414,1903,139182
11770361,0,2,2,2,1234,4404,34008679,-118245236,1914,159024
11770451,0,1,1,1,672,5603,34019438,-118245492,1913,173355
11770791,0,2,4,2,1822,5427,34016609,-118244386,1905,176016
11770942,0,1,2,1,1124,3739,34019636,-118250310,1910,172316
11771438,0,1,2,1,782,6248,34019467,-118267431,1895,115971
11771962,0,3,3,3,2030,5310,34015363,-118261192,1903,204748
11772274,0,3,7,3,2515,6000,34013684,-118267355,1910,258265
11773565,0,3,4,3,2193,8938,34032750,-118280328,1903,170514
11773747,0,0,0,,7431,11248,34032183,-118279114,1922,1225903
11774852,0,4,8,4,3456,6224,34021128,-118268989,1964,75228
11775081,0,4,9,4,3378,6250,34026801,-118277254,1945,338795
